Period,Fund name,ABN,Merger,Merged,Acquirer,NetAssets,MemFlowIn,MemFlowOut,InRoll,SMSFIn,SFTIn,OutRoll,SMSFOut,SFTOut,1YrRet,Merger_y,Merged_y,Acquirer_y,AvgMemBal,Fail,NetFlowsIn,NetFlowsOut,TotalFundFlows,FundOutflowRatio,Log_AvgMemBal,Lag_1YrRet,FlowRatio,NetRollIn,NetRollOut
2020-06-30,Australia Post Superannuation Scheme,42045077895.0,0.0,0.0,0,7932232.0,152239.0,209688.0,47991.0,45.0,0.0,246148.0,19465.0,0.0,-0.009,0.0,0.0,0,226000000000.0,0.0,200230.0,455836.0,656066.0,0.6948020473549917,12.328294703023394,0.065,200229.942533703,47991.0,246148.0
2021-06-30,Australia Post Superannuation Scheme,42045077895.0,0.0,1.0,Australian Retirement Trust,7609863.0,149042.0,249981.0,48757.0,380.0,0.0,229999.0,9340.0,0.0,0.131,0.0,1.0,Australian Retirement Trust,254000000000.0,0.0,197799.0,479980.0,677779.0,0.7081659360942136,12.445093483000798,-0.009,197798.93692659118,48757.0,229999.0
2020-06-30,Australia's Unclaimed Super Fund,85945681973.0,0.0,0.0,0,1362570.0,-1125.0,333620.0,462323.0,0,0.0,455195.0,2984,0.0,0.006,0.0,0.0,0,2000000000.0,0.0,461198.0,788815.0,1250013.0,0.6310454371274539,7.601402334583733,0.043,461197.4210829535,462323.0,455195.0
2020-06-30,Australian Catholic Superannuation and Retirement Fund,24680629023.0,0.0,0.0,0,9165377.0,539992.0,338760.0,201549.0,4716,0.0,322305.0,26490,0.0,0.0,0.0,0.0,0,106000000000.0,0.0,741541.0,661065.0,1402606.0,0.47131197214328185,11.571203807011969,0.056,741540.9278736707,201549.0,322305.0
2021-06-30,Australian Catholic Superannuation and Retirement Fund,24680629023.0,0.0,0.0,0,9240165.0,579247.0,313705.0,132896.0,5505,0.0,259022.0,29003,0.0,0.153,0.0,0.0,0,121000000000.0,0.0,712143.0,572727.0,1284870.0,0.44574704055663217,11.703554089007538,0.0,712142.9380176653,132896.0,259022.0
2022-06-30,Australian Catholic Superannuation and Retirement Fund,24680629023.0,0.0,0.0,0,10799185.0,574012.0,320964.0,102543.0,9245,0.0,886464.0,50921,0.0,-0.013,0.0,0.0,0,119000000000.0,1.0,676555.0,1207428.0,1883983.0,0.6408911333064046,11.686887175419702,0.153,676554.8881926738,102543.0,886464.0
2020-06-30,Australian Defence Force Superannuation Scheme,90302247344.0,0.0,0.0,0,282938.0,158661.0,6179.0,57861.0,149,0.0,10231.0,473,0.0,-0.022,0.0,0.0,0,22000000000.0,0.0,216522.0,16410.0,232932.0,0.07044974498995416,9.99884318585288,0.084,216521.94200142787,57861.0,10231.0
2021-06-30,Australian Defence Force Superannuation Scheme,90302247344.0,0.0,0.0,0,474476.0,208894.0,7394.0,59811.0,429,0.0,10969.0,110,0.0,0.18,0.0,0.0,0,31000000000.0,0.0,268705.0,18363.0,287068.0,0.063967422352892,10.34177474101152,-0.022,268704.9612983586,59811.0,10969.0
2022-06-30,Australian Defence Force Superannuation Scheme,90302247344.0,0.0,0.0,0,832585.0,262762.0,4063.0,61432.0,49,0.0,21263.0,713,0.0,-0.046,0.0,0.0,0,36000000000.0,0.0,324194.0,25326.0,349520.0,0.07245937285420005,10.491301994830229,0.18,324193.96958148415,61432.0,21263.0
2020-06-30,Australian Eligible Rollover Fund,81932639940.0,0.0,0.0,0,565228.0,0.0,172903.0,9124.0,0,0.0,63501.0,1982,0.0,-0.007,0.0,0.0,0,10000000000.0,0.0,9124.0,236404.0,245528.0,0.9628392688410283,9.210440366976517,0.022,9123.581754619376,9124.0,63501.0
2020-06-30,Australian Ethical Retail Superannuation Fund,49633667743.0,0.0,0.0,0,2271039.0,191821.0,79338.0,411355.0,12836,0.0,81702.0,4813,0.0,0.011,0.0,0.0,0,53000000000.0,0.0,603176.0,161040.0,764216.0,0.210725763396736,10.87806606028079,0.1,603175.929089725,411355.0,81702.0
2021-06-30,Australian Ethical Retail Superannuation Fund,49633667743.0,0.0,0.0,0,2737429.0,268274.0,84664.0,456218.0,15155,0.0,67662.0,10294,0.0,0.202,0.0,0.0,0,63000000000.0,0.0,724492.0,152326.0,876818.0,0.17372590434959137,11.050905878263567,0.011,724491.9443543558,456218.0,67662.0
